date,open,high,low,close,volume,dividends,splits
2011-10-18,101.75,104.6,100.96,103.82,318857900,0.0,0
2011-10-19,103.65,104.24,102.24,102.59,226601300,0.0,0
2011-10-20,102.85,103.41,101.48,103.04,262075600,0.0,0
2011-10-21,104.25,105.12,103.94,105.0,278999400,0.0,0
2011-10-24,105.17,106.55,105.07,106.29,203215600,0.0,0
2011-10-25,105.78,105.83,103.99,104.22,268596800,0.0,0
2011-10-26,105.32,105.68,103.51,105.28,289053800,0.0,0
2011-10-27,108.1,109.61,107.23,108.94,393220200,0.0,0
2011-10-28,108.41,109.13,108.24,108.92,225906500,0.0,0
2011-10-31,107.7,108.94,106.14,106.29,228146700,0.0,0
2011-11-01,103.35,104.61,102.92,103.33,416565800,0.0,0
2011-11-02,104.88,105.36,104.0,105.01,244717600,0.0,0
2011-11-03,106.1,107.14,104.68,106.93,291174800,0.0,0
2011-11-04,106.06,106.46,105.03,106.28,249401600,0.0,0
2011-11-07,106.2,107.05,105.19,106.94,196617200,0.0,0
2011-11-08,107.5,108.43,106.47,108.31,224426300,0.0,0
2011-11-09,105.78,106.55,104.06,104.31,337982000,0.0,0
2011-11-10,105.69,105.82,104.19,105.29,231866500,0.0,0
2011-11-11,106.57,107.56,106.54,107.28,189924400,0.0,0
2011-11-14,106.88,107.95,105.8,106.26,159258300,0.0,0
2011-11-15,106.01,107.35,105.63,106.78,184709400,0.0,0
2011-11-16,105.71,107.01,104.94,105.09,235782500,0.0,0
2011-11-17,104.9,105.16,102.68,103.42,331219600,0.0,0
2011-11-18,103.75,103.96,102.88,103.31,215580400,0.0,0
2011-11-21,101.8,101.93,100.49,101.35,229611600,0.0,0
2011-11-22,101.13,101.72,100.38,100.95,216494900,0.0,0
2011-11-23,100.0,100.95,98.72,98.72,224329100,0.0,0
2011-11-25,98.57,99.69,98.42,98.54,99557000,0.0,0
2011-11-28,101.25,101.79,100.64,101.39,210686000,0.0,0
2011-11-29,101.68,102.48,101.31,101.68,199241500,0.0,0
2011-11-30,104.59,106.06,101.64,105.86,324439500,0.0,0
2011-12-01,105.74,106.41,105.39,105.84,176954800,0.0,0
2011-12-02,106.82,107.14,105.68,105.75,221109700,0.0,0
2011-12-05,107.43,107.72,106.24,106.9,225263900,0.0,0
2011-12-06,106.89,107.66,106.51,106.94,178842100,0.0,0
2011-12-07,106.58,107.78,105.84,107.34,237802500,0.0,0
2011-12-08,106.63,106.87,104.73,104.98,240862800,0.0,0
2011-12-09,105.46,107.03,105.36,106.76,209111400,0.0,0
2011-12-12,105.83,105.84,104.31,105.2,215826100,0.0,0
2011-12-13,105.75,106.35,103.71,104.22,245159800,0.0,0
2011-12-14,103.8,104.2,102.88,103.11,238618800,0.0,0
2011-12-15,104.2,104.35,103.32,103.48,199109200,0.0,0
2011-12-16,104.18,104.79,103.39,103.64,220481400,0.77,0
2011-12-19,104.04,104.26,102.31,102.53,183903000,0.0,0
2011-12-20,104.14,105.81,102.6,105.63,225418100,0.0,0
2011-12-21,105.63,106.0,104.62,105.83,194230900,0.0,0
2011-12-22,106.23,106.88,105.89,106.77,119465400,0.0,0
2011-12-23,107.11,107.76,106.89,107.73,92187200,0.0,0
2011-12-27,107.54,108.09,107.45,107.81,86075700,0.0,0
2011-12-28,107.83,107.85,106.31,106.4,119107100,0.0,0
2011-12-29,106.75,107.61,106.42,107.5,123507200,0.0,0
2011-12-30,107.41,107.68,106.97,106.97,95599000,0.0,0
2012-01-03,108.89,109.42,108.61,108.67,193697900,0.0,0
2012-01-04,108.42,108.94,108.0,108.84,127186500,0.0,0
2012-01-05,108.25,109.29,107.76,109.13,173895000,0.0,0
2012-01-06,109.27,109.29,108.49,108.85,148050000,0.0,0
2012-01-09,109.1,109.25,108.6,109.12,99530200,0.0,0
2012-01-10,110.28,110.5,109.91,110.06,115282000,0.0,0
2012-01-11,109.72,110.27,109.54,110.12,111540700,0.0,0
2012-01-12,110.44,110.55,109.56,110.39,118983700,0.0,0
2012-01-13,109.64,109.99,108.86,109.81,179836200,0.0,0
2012-01-17,110.87,111.08,109.87,110.24,132209200,0.0,0
2012-01-18,110.22,111.52,110.02,111.46,163395200,0.0,0
2012-01-19,111.84,112.14,111.49,112.05,126328900,0.0,0
2012-01-20,111.86,112.47,111.59,112.47,138230200,0.0,0
2012-01-23,112.09,112.72,111.64,112.18,129295800,0.0,0
2012-01-24,111.49,112.08,111.31,112.05,103083300,0.0,0
2012-01-25,111.88,113.25,111.44,112.99,198613200,0.0,0
2012-01-26,113.49,113.7,111.96,112.41,184880500,0.0,0
2012-01-27,111.86,112.55,111.78,112.35,135259100,0.0,0
2012-01-30,111.24,112.03,110.85,111.97,147311800,0.0,0
2012-01-31,112.52,112.66,111.38,111.93,157212000,0.0,0
2012-02-01,112.76,113.48,112.62,112.91,166234500,0.0,0
2012-02-02,113.13,113.38,112.69,113.09,113090400,0.0,0
2012-02-03,114.21,114.74,114.02,114.67,160598500,0.0,0
2012-02-06,114.2,114.65,114.07,114.6,107694500,0.0,0
2012-02-07,114.36,115.08,113.91,114.89,135528100,0.0,0
2012-02-08,114.95,115.25,114.48,115.23,139361400,0.0,0
2012-02-09,115.41,115.57,114.69,115.37,148602900,0.0,0
2012-02-10,114.35,114.61,114.08,114.52,167907500,0.0,0
2012-02-13,115.34,115.51,114.84,115.37,115841900,0.0,0
2012-02-14,115.06,115.3,114.43,115.23,165329500,0.0,0
2012-02-15,115.6,115.77,114.46,114.69,195195100,0.0,0
2012-02-16,114.7,116.06,114.49,115.96,186567800,0.0,0
2012-02-17,116.36,116.45,115.88,116.27,129869400,0.0,0
2012-02-21,116.54,116.81,115.96,116.32,134042300,0.0,0
